/usr/bin/python2.7 /home/yashwanth/Downloads/AI/project2/yash/main.py
(1, 'Pos:', 1, 5, 'action:', 0, 'reward:', -1, 'Bank:', -2)
(95, 'Pos:', 4, 4, 'action:', 2, 'reward:', 12, 'Bank:', -18)
(96, 'Pos:', 4, 3, 'action:', 0, 'reward:', -1, 'Bank:', -19)
(97, 'Pos:', 4, 4, 'action:', 0, 'reward:', -1, 'Bank:', -20)
(98, 'Pos:', 3, 4, 'action:', 0, 'reward:', -1, 'Bank:', -21)
(99, 'Pos:', 4, 4, 'action:', 0, 'reward:', -1, 'Bank:', -22)
(100, 'Pos:', 3, 4, 'action:', 0, 'reward:', -1, 'Bank:', -23)
(101, 'Pos:', 3, 5, 'action:', 0, 'reward:', -1, 'Bank:', -24)
(102, 'Pos:', 3, 5, 'action:', 0, 'reward:', -1, 'Bank:', -25)
(103, 'Pos:', 2, 5, 'action:', 0, 'reward:', -1, 'Bank:', -26)
(104, 'Pos:', 3, 5, 'action:', 0, 'reward:', -1, 'Bank:', -27)
(105, 'Pos:', 4, 5, 'action:', 0, 'reward:', -1, 'Bank:', -28)
(106, 'Pos:', 4, 5, 'action:', 0, 'reward:', -1, 'Bank:', -29)
(107, 'Pos:', 4, 4, 'action:', 0, 'reward:', -1, 'Bank:', -30)
(108, 'Pos:', 3, 4, 'action:', 0, 'reward:', -1, 'Bank:', -31)
(109, 'Pos:', 2, 4, 'action:', 0, 'reward:', -1, 'Bank:', -32)
(110, 'Pos:', 3, 4, 'action:', 0, 'reward:', -1, 'Bank:', -33)
(111, 'Pos:', 3, 5, 'action:', 0, 'reward:', -1, 'Bank:', -34)
(112, 'Pos:', 3, 4, 'action:', 0, 'reward:', -1, 'Bank:', -35)
(113, 'Pos:', 4, 4, 'action:', 0, 'reward:', -1, 'Bank:', -36)
(114, 'Pos:', 3, 4, 'action:', 0, 'reward:', -1, 'Bank:', -37)
(115, 'Pos:', 3, 5, 'action:', 0, 'reward:', -1, 'Bank:', -38)
(116, 'Pos:', 3, 5, 'action:', 0, 'reward:', -1, 'Bank:', -39)
(117, 'Pos:', 3, 4, 'action:', 0, 'reward:', -1, 'Bank:', -40)
(118, 'Pos:', 3, 3, 'action:', 1, 'reward:', 12, 'Bank:', -28)
(119, 'Pos:', 3, 2, 'action:', 0, 'reward:', -1, 'Bank:', -29)
(120, 'Pos:', 3, 1, 'action:', 0, 'reward:', -1, 'Bank:', -30)
(121, 'Pos:', 4, 1, 'action:', 0, 'reward:', -1, 'Bank:', -31)
(122, 'Pos:', 4, 2, 'action:', 0, 'reward:', -1, 'Bank:', -32)
(123, 'Pos:', 3, 2, 'action:', 0, 'reward:', -1, 'Bank:', -33)
(124, 'Pos:', 3, 3, 'action:', 0, 'reward:', -1, 'Bank:', -34)
(125, 'Pos:', 3, 4, 'action:', 0, 'reward:', -1, 'Bank:', -35)
(126, 'Pos:', 2, 4, 'action:', 0, 'reward:', -1, 'Bank:', -36)
(127, 'Pos:', 3, 4, 'action:', 0, 'reward:', -1, 'Bank:', -37)
(128, 'Pos:', 3, 3, 'action:', 0, 'reward:', -1, 'Bank:', -38)
(129, 'Pos:', 3, 4, 'action:', 0, 'reward:', -1, 'Bank:', -39)
(130, 'Pos:', 3, 3, 'action:', 0, 'reward:', -1, 'Bank:', -40)
(131, 'Pos:', 2, 3, 'action:', 0, 'reward:', -1, 'Bank:', -41)
(132, 'Pos:', 2, 2, 'action:', 0, 'reward:', -1, 'Bank:', -42)
(133, 'Pos:', 2, 1, 'action:', 0, 'reward:', -1, 'Bank:', -43)
(134, 'Pos:', 3, 1, 'action:', 0, 'reward:', -1, 'Bank:', -44)
(135, 'Pos:', 4, 1, 'action:', 0, 'reward:', -1, 'Bank:', -45)
(136, 'Pos:', 3, 1, 'action:', 0, 'reward:', -1, 'Bank:', -46)
(137, 'Pos:', 4, 1, 'action:', 0, 'reward:', -1, 'Bank:', -47)
(138, 'Pos:', 4, 2, 'action:', 0, 'reward:', -1, 'Bank:', -48)
(139, 'Pos:', 4, 1, 'action:', 0, 'reward:', -1, 'Bank:', -49)
(140, 'Pos:', 5, 1, 'action:', 2, 'reward:', 12, 'Bank:', -37)
(141, 'Pos:', 5, 1, 'action:', 0, 'reward:', -1, 'Bank:', -38)
(142, 'Pos:', 5, 1, 'action:', 0, 'reward:', -1, 'Bank:', -39)
(143, 'Pos:', 5, 1, 'action:', 0, 'reward:', -1, 'Bank:', -40)
(144, 'Pos:', 5, 2, 'action:', 0, 'reward:', -1, 'Bank:', -41)
(145, 'Pos:', 5, 1, 'action:', 0, 'reward:', -1, 'Bank:', -42)
(146, 'Pos:', 4, 1, 'action:', 1, 'reward:', 12, 'Bank:', -30)
(147, 'Pos:', 4, 2, 'action:', 0, 'reward:', -1, 'Bank:', -31)
(148, 'Pos:', 3, 2, 'action:', 0, 'reward:', -1, 'Bank:', -32)
(149, 'Pos:', 3, 1, 'action:', 0, 'reward:', -1, 'Bank:', -33)
(150, 'Pos:', 2, 1, 'action:', 0, 'reward:', -1, 'Bank:', -34)
(151, 'Pos:', 3, 1, 'action:', 0, 'reward:', -1, 'Bank:', -35)
(152, 'Pos:', 4, 1, 'action:', 0, 'reward:', -1, 'Bank:', -36)
(153, 'Pos:', 5, 1, 'action:', 2, 'reward:', 12, 'Bank:', -24)
(154, 'Pos:', 5, 2, 'action:', 0, 'reward:', -1, 'Bank:', -25)
(155, 'Pos:', 5, 1, 'action:', 0, 'reward:', -1, 'Bank:', -26)
(156, 'Pos:', 5, 1, 'action:', 0, 'reward:', -1, 'Bank:', -27)
(157, 'Pos:', 5, 2, 'action:', 0, 'reward:', -1, 'Bank:', -28)
(158, 'Pos:', 5, 3, 'action:', 0, 'reward:', -1, 'Bank:', -29)
(159, 'Pos:', 5, 3, 'action:', 0, 'reward:', -1, 'Bank:', -30)
(160, 'Pos:', 5, 4, 'action:', 0, 'reward:', -1, 'Bank:', -31)
(161, 'Pos:', 5, 5, 'action:', 1, 'reward:', 12, 'Bank:', -19)
(162, 'Pos:', 5, 5, 'action:', 0, 'reward:', -1, 'Bank:', -20)
(163, 'Pos:', 5, 5, 'action:', 0, 'reward:', -1, 'Bank:', -21)
(164, 'Pos:', 5, 5, 'action:', 0, 'reward:', -1, 'Bank:', -22)
(165, 'Pos:', 5, 5, 'action:', 0, 'reward:', -1, 'Bank:', -23)
(166, 'Pos:', 5, 4, 'action:', 0, 'reward:', -1, 'Bank:', -24)
(167, 'Pos:', 5, 3, 'action:', 0, 'reward:', -1, 'Bank:', -25)
(168, 'Pos:', 5, 3, 'action:', 0, 'reward:', -1, 'Bank:', -26)
(169, 'Pos:', 4, 3, 'action:', 0, 'reward:', -1, 'Bank:', -27)
(170, 'Pos:', 4, 2, 'action:', 0, 'reward:', -1, 'Bank:', -28)
(171, 'Pos:', 4, 1, 'action:', 0, 'reward:', -1, 'Bank:', -29)
(172, 'Pos:', 4, 2, 'action:', 0, 'reward:', -1, 'Bank:', -30)
(173, 'Pos:', 4, 3, 'action:', 0, 'reward:', -1, 'Bank:', -31)
(174, 'Pos:', 5, 3, 'action:', 0, 'reward:', -1, 'Bank:', -32)
(175, 'Pos:', 4, 3, 'action:', 0, 'reward:', -1, 'Bank:', -33)
(176, 'Pos:', 5, 3, 'action:', 0, 'reward:', -1, 'Bank:', -34)
(177, 'Pos:', 5, 2, 'action:', 0, 'reward:', -1, 'Bank:', -35)
(178, 'Pos:', 4, 2, 'action:', 0, 'reward:', -1, 'Bank:', -36)
(179, 'Pos:', 4, 3, 'action:', 0, 'reward:', -1, 'Bank:', -37)
(180, 'Pos:', 4, 2, 'action:', 0, 'reward:', -1, 'Bank:', -38)
(181, 'Pos:', 4, 1, 'action:', 0, 'reward:', -1, 'Bank:', -39)
(182, 'Pos:', 5, 1, 'action:', 2, 'reward:', 12, 'Bank:', -27)
(183, 'Pos:', 5, 1, 'action:', 0, 'reward:', -1, 'Bank:', -28)
(184, 'Pos:', 5, 1, 'action:', 0, 'reward:', -1, 'Bank:', -29)
(185, 'Pos:', 5, 1, 'action:', 0, 'reward:', -1, 'Bank:', -30)
(186, 'Pos:', 5, 1, 'action:', 0, 'reward:', -1, 'Bank:', -31)
(187, 'Pos:', 5, 2, 'action:', 0, 'reward:', -1, 'Bank:', -32)
(188, 'Pos:', 4, 2, 'action:', 0, 'reward:', -1, 'Bank:', -33)
(189, 'Pos:', 4, 3, 'action:', 0, 'reward:', -1, 'Bank:', -34)
(190, 'Pos:', 4, 2, 'action:', 0, 'reward:', -1, 'Bank:', -35)
(191, 'Pos:', 5, 2, 'action:', 0, 'reward:', -1, 'Bank:', -36)
(192, 'Pos:', 5, 1, 'action:', 0, 'reward:', -1, 'Bank:', -37)
(193, 'Pos:', 4, 1, 'action:', 1, 'reward:', 12, 'Bank:', -25)
(194, 'Pos:', 4, 1, 'action:', 0, 'reward:', -1, 'Bank:', -26)
(195, 'Pos:', 5, 1, 'action:', 2, 'reward:', 12, 'Bank:', -14)
(196, 'Pos:', 4, 1, 'action:', 1, 'reward:', 12, 'Bank:', -2)
(197, 'Pos:', 4, 1, 'action:', 0, 'reward:', -1, 'Bank:', -3)
(198, 'Pos:', 4, 2, 'action:', 0, 'reward:', -1, 'Bank:', -4)
(199, 'Pos:', 5, 2, 'action:', 0, 'reward:', -1, 'Bank:', -5)
(200, 'Pos:', 5, 2, 'action:', 0, 'reward:', -1, 'Bank:', -6)
(201, 'Pos:', 4, 2, 'action:', 0, 'reward:', -1, 'Bank:', -7)
(202, 'Pos:', 3, 2, 'action:', 0, 'reward:', -1, 'Bank:', -8)
(203, 'Pos:', 4, 2, 'action:', 0, 'reward:', -1, 'Bank:', -9)
(204, 'Pos:', 4, 1, 'action:', 0, 'reward:', -1, 'Bank:', -10)
(205, 'Pos:', 4, 2, 'action:', 0, 'reward:', -1, 'Bank:', -11)
(206, 'Pos:', 4, 1, 'action:', 0, 'reward:', -1, 'Bank:', -12)
(207, 'Pos:', 4, 1, 'action:', 0, 'reward:', -1, 'Bank:', -13)
(208, 'Pos:', 4, 1, 'action:', 0, 'reward:', -1, 'Bank:', -14)
(209, 'Pos:', 4, 1, 'action:', 0, 'reward:', -1, 'Bank:', -15)
(210, 'Pos:', 5, 1, 'action:', 2, 'reward:', 12, 'Bank:', -3)
(211, 'Pos:', 4, 1, 'action:', 1, 'reward:', 12, 'Bank:', 9)
(212, 'Pos:', 5, 1, 'action:', 2, 'reward:', 12, 'Bank:', 21)
(213, 'Pos:', 5, 2, 'action:', 0, 'reward:', -1, 'Bank:', 20)
(214, 'Pos:', 5, 3, 'action:', 0, 'reward:', -1, 'Bank:', 19)
(215, 'Pos:', 5, 2, 'action:', 0, 'reward:', -1, 'Bank:', 18)
(216, 'Pos:', 4, 2, 'action:', 0, 'reward:', -1, 'Bank:', 17)
(217, 'Pos:', 5, 2, 'action:', 0, 'reward:', -1, 'Bank:', 16)
(218, 'Pos:', 5, 2, 'action:', 0, 'reward:', -1, 'Bank:', 15)
(219, 'Pos:', 5, 3, 'action:', 0, 'reward:', -1, 'Bank:', 14)
(220, 'Pos:', 5, 2, 'action:', 0, 'reward:', -1, 'Bank:', 13)
(221, 'Pos:', 5, 1, 'action:', 0, 'reward:', -1, 'Bank:', 12)
(222, 'Pos:', 5, 1, 'action:', 0, 'reward:', -1, 'Bank:', 11)
(223, 'Pos:', 5, 1, 'action:', 0, 'reward:', -1, 'Bank:', 10)
(224, 'Pos:', 5, 1, 'action:', 0, 'reward:', -1, 'Bank:', 9)
(225, 'Pos:', 5, 1, 'action:', 0, 'reward:', -1, 'Bank:', 8)
(226, 'Pos:', 4, 1, 'action:', 0, 'reward:', -1, 'Bank:', 7)
(227, 'Pos:', 5, 1, 'action:', 0, 'reward:', -1, 'Bank:', 6)
(228, 'Pos:', 5, 2, 'action:', 0, 'reward:', -1, 'Bank:', 5)
(229, 'Pos:', 5, 2, 'action:', 0, 'reward:', -1, 'Bank:', 4)
(230, 'Pos:', 4, 2, 'action:', 0, 'reward:', -1, 'Bank:', 3)
(231, 'Pos:', 3, 2, 'action:', 0, 'reward:', -1, 'Bank:', 2)
(232, 'Pos:', 3, 3, 'action:', 1, 'reward:', 12, 'Bank:', 14)
(233, 'Pos:', 4, 3, 'action:', 0, 'reward:', -1, 'Bank:', 13)
(234, 'Pos:', 4, 4, 'action:', 2, 'reward:', 12, 'Bank:', 25)
(235, 'Pos:', 5, 4, 'action:', 0, 'reward:', -1, 'Bank:', 24)
(236, 'Pos:', 5, 3, 'action:', 0, 'reward:', -1, 'Bank:', 23)
(237, 'Pos:', 5, 3, 'action:', 0, 'reward:', -1, 'Bank:', 22)
(238, 'Pos:', 5, 3, 'action:', 0, 'reward:', -1, 'Bank:', 21)
(239, 'Pos:', 5, 4, 'action:', 0, 'reward:', -1, 'Bank:', 20)
(240, 'Pos:', 5, 4, 'action:', 0, 'reward:', -1, 'Bank:', 19)
(241, 'Pos:', 5, 3, 'action:', 0, 'reward:', -1, 'Bank:', 18)
(242, 'Pos:', 5, 3, 'action:', 0, 'reward:', -1, 'Bank:', 17)
(243, 'Pos:', 4, 3, 'action:', 0, 'reward:', -1, 'Bank:', 16)
(244, 'Pos:', 3, 3, 'action:', 1, 'reward:', 12, 'Bank:', 28)
(245, 'Pos:', 2, 3, 'action:', 0, 'reward:', -1, 'Bank:', 27)
(246, 'Pos:', 1, 3, 'action:', 0, 'reward:', -1, 'Bank:', 26)
(247, 'Pos:', 1, 2, 'action:', 0, 'reward:', -1, 'Bank:', 25)
(248, 'Pos:', 1, 3, 'action:', 0, 'reward:', -1, 'Bank:', 24)
(249, 'Pos:', 1, 2, 'action:', 0, 'reward:', -1, 'Bank:', 23)
(250, 'Pos:', 2, 2, 'action:', 0, 'reward:', -1, 'Bank:', 22)
(251, 'Pos:', 2, 3, 'action:', 0, 'reward:', -1, 'Bank:', 21)
(252, 'Pos:', 3, 3, 'action:', 0, 'reward:', -1, 'Bank:', 20)
(253, 'Pos:', 2, 3, 'action:', 0, 'reward:', -1, 'Bank:', 19)
(254, 'Pos:', 1, 3, 'action:', 0, 'reward:', -1, 'Bank:', 18)
(255, 'Pos:', 1, 4, 'action:', 0, 'reward:', -1, 'Bank:', 17)
(256, 'Pos:', 2, 4, 'action:', 0, 'reward:', -1, 'Bank:', 16)
(257, 'Pos:', 2, 5, 'action:', 0, 'reward:', -1, 'Bank:', 15)
(258, 'Pos:', 3, 5, 'action:', 0, 'reward:', -1, 'Bank:', 14)
(259, 'Pos:', 3, 5, 'action:', 0, 'reward:', -1, 'Bank:', 13)
(260, 'Pos:', 2, 5, 'action:', 0, 'reward:', -1, 'Bank:', 12)
(261, 'Pos:', 3, 5, 'action:', 0, 'reward:', -1, 'Bank:', 11)
(262, 'Pos:', 4, 5, 'action:', 0, 'reward:', -1, 'Bank:', 10)
(263, 'Pos:', 4, 4, 'action:', 2, 'reward:', 12, 'Bank:', 22)
(264, 'Pos:', 5, 4, 'action:', 0, 'reward:', -1, 'Bank:', 21)
(265, 'Pos:', 5, 3, 'action:', 0, 'reward:', -1, 'Bank:', 20)
(266, 'Pos:', 5, 4, 'action:', 0, 'reward:', -1, 'Bank:', 19)
(267, 'Pos:', 4, 4, 'action:', 0, 'reward:', -1, 'Bank:', 18)
(268, 'Pos:', 4, 3, 'action:', 0, 'reward:', -1, 'Bank:', 17)
(269, 'Pos:', 5, 3, 'action:', 0, 'reward:', -1, 'Bank:', 16)
(270, 'Pos:', 5, 3, 'action:', 0, 'reward:', -1, 'Bank:', 15)
(271, 'Pos:', 5, 3, 'action:', 0, 'reward:', -1, 'Bank:', 14)
(272, 'Pos:', 5, 4, 'action:', 0, 'reward:', -1, 'Bank:', 13)
(273, 'Pos:', 5, 3, 'action:', 0, 'reward:', -1, 'Bank:', 12)
(274, 'Pos:', 5, 3, 'action:', 0, 'reward:', -1, 'Bank:', 11)
(275, 'Pos:', 5, 3, 'action:', 0, 'reward:', -1, 'Bank:', 10)
(276, 'Pos:', 4, 3, 'action:', 0, 'reward:', -1, 'Bank:', 9)
(277, 'Pos:', 4, 2, 'action:', 0, 'reward:', -1, 'Bank:', 8)
(278, 'Pos:', 4, 1, 'action:', 0, 'reward:', -1, 'Bank:', 7)
(279, 'Pos:', 3, 1, 'action:', 0, 'reward:', -1, 'Bank:', 6)
(280, 'Pos:', 4, 1, 'action:', 0, 'reward:', -1, 'Bank:', 5)
(281, 'Pos:', 5, 1, 'action:', 0, 'reward:', -1, 'Bank:', 4)
(282, 'Pos:', 5, 1, 'action:', 0, 'reward:', -1, 'Bank:', 3)
(283, 'Pos:', 5, 1, 'action:', 0, 'reward:', -1, 'Bank:', 2)
(284, 'Pos:', 5, 1, 'action:', 0, 'reward:', -1, 'Bank:', 1)
(285, 'Pos:', 5, 1, 'action:', 0, 'reward:', -1, 'Bank:', 0)
(286, 'Pos:', 5, 1, 'action:', 0, 'reward:', -1, 'Bank:', -1)
(287, 'Pos:', 4, 1, 'action:', 0, 'reward:', -1, 'Bank:', -2)
(288, 'Pos:', 4, 2, 'action:', 0, 'reward:', -1, 'Bank:', -3)
(289, 'Pos:', 4, 1, 'action:', 0, 'reward:', -1, 'Bank:', -4)
(290, 'Pos:', 4, 1, 'action:', 0, 'reward:', -1, 'Bank:', -5)
(291, 'Pos:', 5, 1, 'action:', 0, 'reward:', -1, 'Bank:', -6)
(292, 'Pos:', 5, 1, 'action:', 0, 'reward:', -1, 'Bank:', -7)
(293, 'Pos:', 4, 1, 'action:', 0, 'reward:', -1, 'Bank:', -8)
(294, 'Pos:', 3, 1, 'action:', 0, 'reward:', -1, 'Bank:', -9)
(295, 'Pos:', 2, 1, 'action:', 0, 'reward:', -1, 'Bank:', -10)
(296, 'Pos:', 2, 2, 'action:', 0, 'reward:', -1, 'Bank:', -11)
(297, 'Pos:', 3, 2, 'action:', 0, 'reward:', -1, 'Bank:', -12)
(298, 'Pos:', 2, 2, 'action:', 0, 'reward:', -1, 'Bank:', -13)
(299, 'Pos:', 2, 3, 'action:', 0, 'reward:', -1, 'Bank:', -14)
(300, 'Pos:', 3, 3, 'action:', 0, 'reward:', -1, 'Bank:', -15)
(301, 'Pos:', 4, 3, 'action:', 0, 'reward:', -1, 'Bank:', -16)
(302, 'Pos:', 3, 3, 'action:', 0, 'reward:', -1, 'Bank:', -17)
(303, 'Pos:', 2, 3, 'action:', 0, 'reward:', -1, 'Bank:', -18)
(304, 'Pos:', 1, 3, 'action:', 0, 'reward:', -1, 'Bank:', -19)
(305, 'Pos:', 1, 2, 'action:', 0, 'reward:', -1, 'Bank:', -20)
(306, 'Pos:', 2, 2, 'action:', 0, 'reward:', -1, 'Bank:', -21)
(307, 'Pos:', 3, 2, 'action:', 0, 'reward:', -1, 'Bank:', -22)
(308, 'Pos:', 3, 3, 'action:', 0, 'reward:', -1, 'Bank:', -23)
(309, 'Pos:', 3, 2, 'action:', 0, 'reward:', -1, 'Bank:', -24)
(310, 'Pos:', 3, 3, 'action:', 0, 'reward:', -1, 'Bank:', -25)
(311, 'Pos:', 4, 3, 'action:', 0, 'reward:', -1, 'Bank:', -26)
(312, 'Pos:', 4, 2, 'action:', 0, 'reward:', -1, 'Bank:', -27)
(313, 'Pos:', 4, 3, 'action:', 0, 'reward:', -1, 'Bank:', -28)
(314, 'Pos:', 4, 4, 'action:', 0, 'reward:', -1, 'Bank:', -29)
(315, 'Pos:', 4, 3, 'action:', 0, 'reward:', -1, 'Bank:', -30)
